percentcover,bareground,litter,species,Year,Site
63,1,4,Crested Wheatgrass,Spring 2018,Berry Farm
15,2,3,Crested Wheatgrass,Fall 2018,Berry Farm
85,1,6,Crested Wheatgrass,Spring 2019,Berry Farm
63,2,3,Crested Wheatgrass,Fall 2019,Berry Farm
63,1,4,Crested Wheatgrass,Spring 2018,Berry Farm
63,1,5,Crested Wheatgrass,Fall 2018,Berry Farm
63,1,5,Crested Wheatgrass,Spring 2019,Berry Farm
98,1,6,Crested Wheatgrass,Fall 2019,Berry Farm
63,1,3,Crested Wheatgrass,Spring 2018,Berry Farm
38,1,5,Crested Wheatgrass,Fall 2018,Berry Farm
85,1,6,Crested Wheatgrass,Spring 2019,Berry Farm
85,1,5,Crested Wheatgrass,Fall 2019,Berry Farm
63,1,3,Crested Wheatgrass,Spring 2018,Berry Farm
38,2,5,Crested Wheatgrass,Fall 2018,Berry Farm
85,1,6,Crested Wheatgrass,Spring 2019,Berry Farm
85,1,5,Crested Wheatgrass,Fall 2019,Berry Farm
85,1,4,Crested Wheatgrass,Spring 2018,Berry Farm
63,1,5,Crested Wheatgrass,Fall 2018,Berry Farm
85,1,6,Crested Wheatgrass,Spring 2019,Berry Farm
85,1,5,Crested Wheatgrass,Fall 2019,Berry Farm
63,1,4,Crested Wheatgrass,Spring 2018,Berry Farm
38,2,4,Crested Wheatgrass,Fall 2018,Berry Farm
63,1,4,Crested Wheatgrass,Spring 2019,Berry Farm
63,2,5,Crested Wheatgrass,Fall 2019,Berry Farm
